Col1,Col2,Col3,Col4,Col5,Col6,Col7,ClassificationLabel
Word1 Word2 Word3 Word4 Word5,44912133,"3,575.00",Word771 Word772,8/31/2018,Word560 Word561 Word366 Word562,Doc1,Category_1
Word6 Word7,10719,"1,092.50",Word711 Word773 Word774,8/31/2018,Word563 Word366 Word562,NoDoc,Category_2
Word8 Word9 Word10 Word11 Word5,4.80Z+11,75,Word775 Word776,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word12 Word13 Word7,10731,"30,980.00",Word777 Word45 Word160 Word45 Word778,1/1/2018,Word565 Word566,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80F+11,"3,766.80",Word779 Word258 Word780,1/1/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word14 Word15,KBNZGNNWMA072618,"1,898.83",Word613 Word781 Word782,8/31/2018,Word571 Word52 Word572 Word573 Word574,NoDoc,Category_1
Word16 Word17 Word18 Word7,WE1243,135,Word783 Word784 Word785,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,20136,184.31,Word575 Word786,11/30/2018,Word563 Word575,NoDoc,Category_2
Word16 Word17 Word18 Word7,4411,"1,857.60",Word787 Word784 Word785,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80F+11,258,Word330 Word99 Word764 Word780,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word24 Word22 Word4 Word5,22631,595,Word562,7/31/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word25 Word26,082218-9,44,Word61,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word27 Word28 Word29 Word5,1064357,"4,086.89",Word130,5/31/2018,Word576 Word130 Word577 Word578,Doc3,Category_1
Word30 Word31,684417,442,Word130 Word60 Word99 Word26,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
